repo_id,repo_name,self_ref_ratio,repo_name_used,i_pr_rec_cnt,repo_created_at,category_label,project_age_years,external_ref_ratio
528766495,TuGraph-family/tugraph-db,0.3,TuGraph-family/tugraph-db,1625,2022-08-25T08:46:43Z,Graph,1.3470225872689938,0.7
660776503,paradedb/paradedb,0.4660756904193658,paradedb/paradedb,1604,2023-06-30T20:21:47Z,Relational,0.5010266940451745,0.5339243095806342
660776503,paradedb/paradedb,0.4660756904193658,paradedb/paradedb,1604,2023-06-30T20:21:47Z,Object Oriented,0.5010266940451745,0.5339243095806342
170496871,gridgain/gridgain,0.7176395939086294,gridgain/gridgain,1541,2019-02-13T11:31:35Z,Columnar,4.876112251882272,0.2823604060913706
49670957,eclipse/rdf4j,0.5680778032036613,eclipse/rdf4j,1501,2016-01-14T19:47:32Z,RDF,7.958932238193018,0.4319221967963387
574588439,ytsaurus/ytsaurus,0.1684602649006622,ytsaurus/ytsaurus,1450,2022-12-05T16:32:05Z,Document,1.0677618069815196,0.8315397350993378
291675222,hstreamdb/hstream,0.8448275862068966,hstreamdb/hstream,1416,2020-08-31T09:42:17Z,Relational,3.3292265571526354,0.15517241379310343
385356389,vmware/splinterdb,0.6557835820895522,vmware/splinterdb,1368,2021-07-12T19:10:28Z,Key-value,2.4668035592060233,0.34421641791044777
160999,apache/zookeeper,0.2840236686390532,apache/zookeeper,1350,2009-03-27T15:41:56Z,Hierarchical,14.759753593429158,0.7159763313609468
33745913,h2database/h2database,0.3983050847457627,h2database/h2database,1330,2015-04-10T19:09:09Z,Relational,8.722792607802875,0.6016949152542372
30753733,percona/percona-server,0.3273761169780666,percona/percona-server,1273,2015-02-13T11:32:01Z,Relational,8.876112251882272,0.6726238830219333
661663226,maxnowack/signaldb,0.0206653225806451,maxnowack/signaldb,1257,2023-07-03T11:21:29Z,Document,0.4928131416837782,0.9793346774193549
67904342,Expensify/Bedrock,0.7620087336244541,Expensify/Bedrock,1230,2016-09-11T01:55:45Z,Relational,7.299110198494182,0.2379912663755459
184981,memcached/memcached,0.2296511627906976,memcached/memcached,1208,2009-04-24T23:34:25Z,Key-value,14.683093771389458,0.7703488372093024
323389945,logicalclocks/rondb,0.7525252525252525,logicalclocks/rondb,1199,2020-12-21T16:25:57Z,Key-value,3.02258726899384,0.24747474747474751
323389945,logicalclocks/rondb,0.7525252525252525,logicalclocks/rondb,1199,2020-12-21T16:25:57Z,Relational,3.02258726899384,0.24747474747474751
198466472,terminusdb/terminusdb,0.6549520766773163,terminusdb/terminusdb,1196,2019-07-23T16:15:27Z,Document,4.438056125941136,0.34504792332268375
198466472,terminusdb/terminusdb,0.6549520766773163,terminusdb/terminusdb,1196,2019-07-23T16:15:27Z,Graph,4.438056125941136,0.34504792332268375
198466472,terminusdb/terminusdb,0.6549520766773163,terminusdb/terminusdb,1196,2019-07-23T16:15:27Z,RDF,4.438056125941136,0.34504792332268375
23247808,rqlite/rqlite,0.4735042735042735,rqlite/rqlite,1178,2014-08-23T04:31:18Z,Relational,9.352498288843258,0.5264957264957265
80087836,dgraph-io/badger,0.5942562592047128,dgraph-io/badger,1165,2017-01-26T05:09:49Z,Key-value,6.924024640657084,0.4057437407952872
50594316,senx/warp10-platform,0.888268156424581,senx/warp10-platform,1067,2016-01-28T15:56:55Z,Time Series,7.920602327173169,0.11173184357541899
150013328,cberner/redb,0.4763636363636364,cberner/redb,1031,2018-09-23T18:30:14Z,Key-value,5.2676249144421625,0.5236363636363637
714074,pouchdb/pouchdb,0.6423562412342216,pouchdb/pouchdb,1015,2010-06-10T18:34:24Z,Document,13.555099247091034,0.35764375876577836
9595928,mirage/irmin,0.2800875273522976,mirage/irmin,1005,2013-04-22T09:52:58Z,Document,10.688569472963723,0.7199124726477024
543276238,libsql/libsql,0.5461215932914046,libsql/libsql,973,2022-09-29T18:56:16Z,Relational,1.2511978097193703,0.45387840670859536
510375115,splitgraph/seafowl,0.3007518796992481,splitgraph/seafowl,966,2022-07-04T13:41:52Z,Relational,1.4893908281998631,0.6992481203007519
168712350,Snapchat/KeyDB,0.3806060606060606,Snapchat/KeyDB,929,2019-02-01T14:50:00Z,Key-value,4.908966461327857,0.6193939393939394
