,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,pagerank,weighted_degree_centrality,weighted_pagerank,composite_centrality,node_type,weight,label,degree,repo_id,repo_name,in_lcc
R_22321368,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,5.7764499877802276e-05,0.00046061722708429296,5.7764499877802276e-05,0.11129196220191398,Repo,1,R_22321368,1,22321368,,True
R_691638668,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_691638668,1,691638668,,True
R_398732697,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_398732697,1,398732697,,True
R_487859119,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,5.7764499877802276e-05,0.00046061722708429296,5.7764499877802276e-05,0.11129196220191398,Repo,1,R_487859119,1,487859119,,True
R_9155431,0.00030707815138952864,0.27254072079004743,0.0,0.01243810274120174,3.643607925305335e-05,0.00030707815138952864,3.643607925305335e-05,0.1161428785875286,Repo,1,R_9155431,2,9155431,,True
R_343208836,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_343208836,1,343208836,,True
R_8882852,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_8882852,1,8882852,,True
R_64699530,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_64699530,1,64699530,,True
R_539846712,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,5.7764499877802276e-05,0.00046061722708429296,5.7764499877802276e-05,0.11129196220191398,Repo,1,R_539846712,1,539846712,,True
R_507251859,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_507251859,1,507251859,,True
R_206917473,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_206917473,1,206917473,,True
R_359607103,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,6.93144012434766e-05,0.0006141563027790573,6.93144012434766e-05,0.11141678805648611,Repo,1,R_359607103,1,359607103,,True
R_4307702,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_4307702,1,4307702,,True
